graph,model,all_wrong_sure,all_correct_sure,mean_conf,frac_wrong
ring,PBRC (social-only fallback),0.0,0.0,0.5346975296996479,0.45
ring,baseline,0.0,0.0,0.9887117162309172,0.25
ring,PBRC (social-only fallback),0.0,0.0,0.5275566481277042,0.55
ring,baseline,0.0,0.0,0.9695937780949475,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.532870345182118,0.5
ring,baseline,0.0,0.0,0.9773264749621688,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5279975864985171,0.4
ring,baseline,0.0,0.0,0.9914635512522608,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5263353312177113,0.5
ring,baseline,0.0,0.0,0.9819576223870765,0.85
ring,PBRC (social-only fallback),0.0,0.0,0.5549392720921913,0.75
ring,baseline,0.0,0.0,0.9983256272754447,0.2
ring,PBRC (social-only fallback),0.0,0.0,0.5378644099104324,0.45
ring,baseline,0.0,0.0,0.998348420031736,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5451441900169833,0.55
ring,baseline,0.0,0.0,0.9964085129507605,0.55
ring,PBRC (social-only fallback),0.0,0.0,0.544536623909524,0.5
ring,baseline,0.0,0.0,0.9976333347680164,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5332731566758045,0.35
ring,baseline,0.0,0.0,0.983365980328277,0.45
ring,PBRC (social-only fallback),0.0,0.0,0.5438695192135705,0.65
ring,baseline,0.0,0.0,0.9928108190814001,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.5360160084805716,0.45
ring,baseline,0.0,0.0,0.9975101801622861,0.35
ring,PBRC (social-only fallback),0.0,0.0,0.5478368233097355,0.5
ring,baseline,0.0,0.0,0.9972076859753575,0.7
ring,PBRC (social-only fallback),0.0,0.0,0.5427325347526882,0.6
ring,baseline,0.0,0.0,0.9678351214099857,0.75
ring,PBRC (social-only fallback),0.0,0.0,0.5479943178051435,0.6
ring,baseline,0.0,0.0,0.9922763445748725,0.5
ring,PBRC (social-only fallback),0.0,0.0,0.54323492609386,0.35
ring,baseline,0.0,0.0,0.9767774367103088,0.6
ring,PBRC (social-only fallback),0.0,0.0,0.540811735080547,0.55
ring,baseline,0.0,0.0,0.9977544292355274,0.25
